2025-12-05 22:11:53 | WARNING  | HTTP 422: GET /api/hr/attendance
2025-12-05 22:11:54 | WARNING  | HTTP 422: GET /api/hr/reports/attendance
2025-12-05 22:11:57 | INFO     | LOGOUT
2025-12-06 09:16:06 | INFO     | === VES HRMS Server Starting ===
2025-12-06 09:16:06 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-06 09:16:27 | INFO     | === VES HRMS Server Starting ===
2025-12-06 09:16:27 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-06 09:45:24 | INFO     | LOGIN_SUCCESS
2025-12-06 09:47:47 | INFO     | LOGOUT
2025-12-06 09:48:09 | INFO     | LOGIN_SUCCESS
2025-12-06 09:48:09 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-06 09:48:09 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-06 09:48:37 | WARNING  | HTTP 422: GET /api/hr/employees
2025-12-06 09:48:45 | WARNING  | HTTP 422: GET /api/hr/attendance
2025-12-06 09:48:54 | WARNING  | HTTP 422: GET /api/hr/reports/attendance
2025-12-06 09:49:02 | WARNING  | HTTP 422: GET /api/hr/payroll
2025-12-06 09:49:03 | WARNING  | HTTP 422: GET /api/hr/payroll/salary-config
2025-12-06 09:51:50 | WARNING  | HTTP 422: GET /api/hr/employees
2025-12-06 09:52:00 | WARNING  | HTTP 422: GET /api/hr/attendance
2025-12-06 09:52:02 | WARNING  | HTTP 422: GET /api/hr/reports/attendance
2025-12-06 09:52:24 | WARNING  | HTTP 422: GET /api/hr/payroll
2025-12-06 09:52:24 | WARNING  | HTTP 422: GET /api/hr/payroll/salary-config
2025-12-06 09:52:33 | WARNING  | HTTP 422: GET /api/hr/attendance
2025-12-06 09:56:43 | INFO     | LOGOUT
2025-12-06 09:57:16 | INFO     | LOGIN_SUCCESS
2025-12-06 09:57:17 | WARNING  | HTTP 422: GET /api/employee/category
2025-12-06 09:57:17 | WARNING  | HTTP 422: GET /api/attendance/today
2025-12-06 09:57:17 | WARNING  | HTTP 422: GET /api/attendance/summary
2025-12-06 09:57:17 | WARNING  | HTTP 422: GET /api/leaves/balance
2025-12-06 09:57:17 | WARNING  | HTTP 422: GET /api/leaves
2025-12-06 09:57:17 | WARNING  | HTTP 422: GET /api/employee/category
2025-12-06 09:57:17 | WARNING  | HTTP 422: GET /api/attendance/today
2025-12-06 09:57:17 | WARNING  | HTTP 422: GET /api/attendance/summary
2025-12-06 09:57:17 | WARNING  | HTTP 422: GET /api/leaves/balance
2025-12-06 09:57:18 | WARNING  | HTTP 422: GET /api/leaves
2025-12-06 09:57:18 | WARNING  | HTTP 422: GET /api/meal-tokens/today
2025-12-06 09:57:18 | WARNING  | HTTP 422: GET /api/meal-tokens/today
2025-12-06 09:57:18 | WARNING  | HTTP 422: GET /api/employee/payslip
2025-12-06 09:57:18 | WARNING  | HTTP 422: GET /api/employee/payslip
2025-12-06 09:57:19 | WARNING  | HTTP 422: GET /api/employee/payslip-history
2025-12-06 09:57:19 | WARNING  | HTTP 422: GET /api/employee/payslip-history
2025-12-06 10:04:40 | INFO     | === VES HRMS Server Starting ===
2025-12-06 10:04:40 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-06 10:04:43 | WARNING  | HTTP 422: GET /api/meal-tokens/history
2025-12-07 11:42:26 | INFO     | === VES HRMS Server Starting ===
2025-12-07 11:42:26 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-07 14:22:14 | INFO     | LOGIN_SUCCESS
2025-12-07 14:22:14 | WARNING  | HTTP 422: GET /api/employee/category
2025-12-07 14:22:14 | WARNING  | HTTP 422: GET /api/attendance/today
2025-12-07 14:22:14 | WARNING  | HTTP 422: GET /api/attendance/summary
2025-12-07 14:22:15 | WARNING  | HTTP 422: GET /api/leaves/balance
2025-12-07 14:22:15 | WARNING  | HTTP 422: GET /api/leaves
2025-12-07 14:22:15 | WARNING  | HTTP 422: GET /api/employee/category
2025-12-07 14:22:15 | WARNING  | HTTP 422: GET /api/attendance/today
2025-12-07 14:22:15 | WARNING  | HTTP 422: GET /api/attendance/summary
2025-12-07 14:22:15 | WARNING  | HTTP 422: GET /api/leaves/balance
2025-12-07 14:22:15 | WARNING  | HTTP 422: GET /api/leaves
2025-12-07 14:22:15 | WARNING  | HTTP 422: GET /api/meal-tokens/today
2025-12-07 14:22:15 | WARNING  | HTTP 422: GET /api/meal-tokens/today
2025-12-07 14:22:16 | WARNING  | HTTP 422: GET /api/employee/payslip
2025-12-07 14:22:16 | WARNING  | HTTP 422: GET /api/employee/payslip
2025-12-07 14:22:16 | WARNING  | HTTP 422: GET /api/employee/payslip-history
2025-12-07 14:22:16 | WARNING  | HTTP 422: GET /api/employee/payslip-history
2025-12-07 14:22:35 | INFO     | LOGOUT
2025-12-08 10:04:19 | INFO     | === VES HRMS Server Starting ===
2025-12-08 10:04:19 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-08 13:50:46 | INFO     | === VES HRMS Server Starting ===
2025-12-08 13:50:46 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-08 16:15:51 | INFO     | === VES HRMS Server Starting ===
2025-12-08 16:15:51 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-08 18:15:38 | INFO     | === VES HRMS Server Starting ===
2025-12-08 18:15:38 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-09 14:08:29 | INFO     | === VES HRMS Server Starting ===
2025-12-09 14:08:29 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-10 10:01:00 | INFO     | === VES HRMS Server Starting ===
2025-12-10 10:01:00 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-10 11:41:21 | INFO     | === VES HRMS Server Starting ===
2025-12-10 11:41:21 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-10 11:42:58 | INFO     | === VES HRMS Server Starting ===
2025-12-10 11:42:58 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-10 11:43:20 | INFO     | === VES HRMS Server Starting ===
2025-12-10 11:43:20 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-10 11:43:52 | INFO     | === VES HRMS Server Starting ===
2025-12-10 11:43:52 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-10 13:44:01 | INFO     | === VES HRMS Server Starting ===
2025-12-10 13:44:01 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-10 21:18:19 | INFO     | === VES HRMS Server Starting ===
2025-12-10 21:18:19 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:05:40 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:05:40 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:06:05 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:06:05 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:07:16 | ERROR    | Login error: no such column: active_session_id
2025-12-12 10:07:16 | WARNING  | HTTP 500: POST /api/login
2025-12-12 10:07:55 | ERROR    | Login error: no such column: active_session_id
2025-12-12 10:07:55 | WARNING  | HTTP 500: POST /api/login
2025-12-12 10:12:45 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:12:45 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:13:07 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:13:07 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:14:20 | ERROR    | Login error: no such column: active_session_id
2025-12-12 10:14:20 | WARNING  | HTTP 500: POST /api/login
2025-12-12 10:15:21 | ERROR    | Login error: no such column: active_session_id
2025-12-12 10:15:21 | WARNING  | HTTP 500: POST /api/login
2025-12-12 10:17:53 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:17:53 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:18:19 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:18:19 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:19:54 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:19:54 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:21:58 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:21:58 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:22:33 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:22:33 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:23:16 | INFO     | LOGIN_FAILED
2025-12-12 10:23:16 | WARNING  | HTTP 401: POST /api/login
2025-12-12 10:23:16 | WARNING  | HTTP 401: POST /api/token/refresh
2025-12-12 10:23:37 | INFO     | LOGIN_FAILED
2025-12-12 10:23:37 | WARNING  | HTTP 401: POST /api/login
2025-12-12 10:24:31 | INFO     | LOGIN_FAILED
2025-12-12 10:24:31 | WARNING  | HTTP 401: POST /api/login
2025-12-12 10:24:56 | INFO     | LOGIN_FAILED
2025-12-12 10:24:56 | WARNING  | HTTP 401: POST /api/login
2025-12-12 10:26:47 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:26:47 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:26:47 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:26:47 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:27:55 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:27:55 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:27:55 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:27:55 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:29:42 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:29:42 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:29:42 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:29:42 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:31:18 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:31:18 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:31:42 | INFO     | === VES HRMS Server Starting ===
2025-12-12 10:31:42 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 10:41:32 | INFO     | LOGIN_SUCCESS
2025-12-12 10:41:32 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-12 10:41:32 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-12 10:41:36 | WARNING  | HTTP 422: GET /api/hr/dashboard/stats
2025-12-12 10:41:36 | WARNING  | HTTP 422: GET /api/hr/master/departments
2025-12-12 10:41:36 | WARNING  | HTTP 422: GET /api/hr/master/designations
2025-12-12 10:41:36 | WARNING  | HTTP 422: GET /api/hr/master/branches
2025-12-12 10:41:36 | WARNING  | HTTP 422: GET /api/hr/master/divisions
2025-12-12 10:41:36 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 10:41:36 | WARNING  | HTTP 422: GET /api/hr/master/departments
2025-12-12 10:41:36 | WARNING  | HTTP 422: GET /api/hr/dashboard/stats
2025-12-12 10:41:36 | WARNING  | HTTP 422: GET /api/hr/master/branches
2025-12-12 10:41:36 | WARNING  | HTTP 422: GET /api/hr/master/designations
2025-12-12 10:41:36 | WARNING  | HTTP 422: GET /api/hr/master/divisions
2025-12-12 10:41:36 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 10:41:37 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 10:41:37 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 10:41:54 | WARNING  | HTTP 422: GET /api/hr/dashboard/stats
2025-12-12 10:41:54 | WARNING  | HTTP 422: GET /api/hr/master/designations
2025-12-12 10:41:54 | WARNING  | HTTP 422: GET /api/hr/master/divisions
2025-12-12 10:41:54 | WARNING  | HTTP 422: GET /api/hr/master/departments
2025-12-12 10:41:54 | WARNING  | HTTP 422: GET /api/hr/master/branches
2025-12-12 10:41:54 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 10:41:54 | WARNING  | HTTP 422: GET /api/hr/dashboard/stats
2025-12-12 10:41:55 | WARNING  | HTTP 422: GET /api/hr/master/divisions
2025-12-12 10:41:55 | WARNING  | HTTP 422: GET /api/hr/master/designations
2025-12-12 10:41:55 | WARNING  | HTTP 422: GET /api/hr/master/departments
2025-12-12 10:41:55 | WARNING  | HTTP 422: GET /api/hr/master/branches
2025-12-12 10:41:55 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 10:41:55 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 10:41:55 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 11:00:06 | INFO     | === VES HRMS Server Starting ===
2025-12-12 11:00:06 | INFO     | Logs directory: C:\Users\amurugai\Documents\VesHRMS\logs
2025-12-12 11:02:28 | INFO     | LOGIN_BLOCKED
2025-12-12 11:02:28 | WARNING  | HTTP 409: POST /api/login
2025-12-12 11:02:31 | INFO     | FORCE_LOGOUT
2025-12-12 11:02:31 | INFO     | LOGIN_SUCCESS
2025-12-12 11:02:32 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-12 11:02:32 | WARNING  | HTTP 422: GET /api/hr/leaves
2025-12-12 11:02:34 | WARNING  | HTTP 422: GET /api/hr/dashboard/stats
2025-12-12 11:02:34 | WARNING  | HTTP 422: GET /api/hr/master/departments
2025-12-12 11:02:34 | WARNING  | HTTP 422: GET /api/hr/master/divisions
2025-12-12 11:02:34 | WARNING  | HTTP 422: GET /api/hr/master/branches
2025-12-12 11:02:34 | WARNING  | HTTP 422: GET /api/hr/master/designations
2025-12-12 11:02:34 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 11:02:35 | WARNING  | HTTP 422: GET /api/hr/dashboard/stats
2025-12-12 11:02:35 | WARNING  | HTTP 422: GET /api/hr/master/departments
2025-12-12 11:02:35 | WARNING  | HTTP 422: GET /api/hr/master/divisions
2025-12-12 11:02:35 | WARNING  | HTTP 422: GET /api/hr/master/branches
2025-12-12 11:02:35 | WARNING  | HTTP 422: GET /api/hr/master/designations
2025-12-12 11:02:35 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 11:02:35 | WARNING  | HTTP 422: GET /api/hr/employees/search
2025-12-12 11:02:35 | WARNING  | HTTP 422: GET /api/hr/employees/search
